"Gene","Analysis.ID","Relatedness","adjusted_expression"
"LOC143274397","F1Mc_Rep4","0",0.0118510435461584
"LOC143274397","F1Mc_Rep5","0",0.0118510435461584
"LOC143274397","F1Mc_Rep6","0",0.0118510435461584
"LOC143274397","F1Mc_Rep7","0",0.0118510435461584
"LOC143274397","F1Mc_Rep8","0",0.0419697443306754
"LOC143274397","F1Mm_Rep1","0",0.00994743047712574
"LOC143274397","F1Mm_Rep2","0",0.0678665980037428
"LOC143274397","F1Mm_Rep3","0",0.0592910719812534
"LOC143274397","F1Mm_Rep4","0",0.00994743047712574
"LOC143274397","F1Mm_Rep5","0",0.00994743047712574
"LOC143274397","F1Mm_Rep6","0",0.00994743047712574
"LOC143274397","F1Mm_Rep7","0",0.00994743047712574
"LOC143274397","F1Mm_Rep8","0",0.00994743047712574
"LOC143274397","F2Fc_Rep1","50",-0.00994743047712572
"LOC143274397","F2Fc_Rep2","50",-0.00994743047712572
"LOC143274397","F2Fc_Rep3","50",-0.00994743047712572
"LOC143274397","F2Fc_Rep4","50",-0.00994743047712572
"LOC143274397","F2Fc_Rep5","50",-0.00994743047712572
"LOC143274397","F2Fc_Rep7","50",-0.00994743047712572
"LOC143274397","F2Fc_Rep8","50",-0.00994743047712572
"LOC143274397","F2Fm_Rep1","50",-0.0118510435461583
"LOC143274397","F2Fm_Rep2","50",-0.0118510435461583
"LOC143274397","F2Fm_Rep3","50",0.0290974196989842
"LOC143274397","F2Fm_Rep4","50",-0.0118510435461583
"LOC143274397","F2Fm_Rep5","50",-0.0118510435461583
"LOC143274397","F2Fm_Rep6","50",-0.0118510435461583
"LOC143274397","F2Fm_Rep7","50",0.0175361408379159
"LOC143274397","F2Fm_Rep8","50",-0.0118510435461583
"LOC143274397","F2Mc_Rep1","50",0.0118510435461584
"LOC143274397","F2Mc_Rep2","50",0.0118510435461584
"LOC143274397","F2Mc_Rep3","50",0.0118510435461584
"LOC143274397","F2Mc_Rep4","50",0.0603404913124911
"LOC143274397","F2Mc_Rep5","50",0.0118510435461584
"LOC143274397","F2Mc_Rep6","50",0.0118510435461584
"LOC143274397","F2Mc_Rep7","50",0.0118510435461584
"LOC143274397","F2Mc_Rep8","50",0.0118510435461584
